X0;X1;X2;RCE
1656536400.0;0.0;0.2;1119.27
1656536700.0053952;0.0;0.2;1028.42
1656537000.01079;0.0;0.2;1028.42
1656537300.0161853;0.0;0.18;1028.42
1656537600.0215805;0.0;0.2;1028.42
1656537900.0269754;0.0;0.2;1028.42
1656538200.0323706;0.0;0.2;1028.42
1656538500.0377657;0.0;0.2;1028.42
1656538800.043161;0.0;0.2;1028.42
1656539100.0485559;0.0;0.11;1028.42
1656539400.053951;0.0;0.11;1028.42
1656539700.0593462;0.0;0.11;983.12
1656540000.0647411;0.0;0.12;983.12
1656540300.0701363;0.0;0.13;983.12
1656540600.0755315;0.0;0.13;983.12
1656540900.0809264;0.0;0.12;983.12
1656541200.0863216;0.0;0.11;983.12
1656541500.0917168;0.0;0.12;983.12
1656541800.097112;0.0;0.11;983.12
1656542100.1025069;0.0;0.1;983.12
1656542400.107902;0.0;0.1;983.12
1656542700.1132972;0.0;0.09;983.12
1656543000.1186922;0.0;0.1;983.12
1656543300.1240873;0.0;0.1;992.34
1656543600.1294825;0.0;0.1;992.34
1656543900.1348774;0.0;0.1;992.34
1656544200.1402726;0.0;0.1;992.34
1656544500.1456678;0.0;0.08;992.34
1656544800.1510627;0.0;0.1;992.34
1656545100.156458;0.0;0.1;992.34
1656545400.161853;0.0;0.22;992.34
1656545700.1672482;0.0;0.21;992.34
1656546000.1726432;0.0;0.21;992.34
1656546300.1780384;0.0;0.21;992.34
1656546600.1834335;0.0;0.21;992.34
1656546900.1888285;0.0;0.2;999.21
1656547200.1942236;0.0;0.2;999.21
1656547500.1996188;0.0;0.2;999.21
1656547800.2050138;0.0;0.2;999.21
1656548100.210409;0.0;0.2;999.21
1656548400.215804;0.0;0.2;999.21
1656548700.221199;0.0;0.2;999.21
1656549000.2265942;0.0;0.2;999.21
1656549300.2319894;0.0;0.2;999.21
1656549600.2373846;0.0;0.2;999.21
1656549900.2427795;0.0;0.2;999.21
1656550200.2481747;0.0;0.2;999.21
1656550500.2535698;0.0;0.2;976.37
1656550800.2589648;0.0;0.2;976.37
1656551100.26436;0.0;0.2;976.37
1656551400.2697551;0.0;0.2;976.37
1656551700.27515;0.0;0.1;976.37
1656552000.2805452;0.0;0.1;976.37
1656552300.2859404;0.0;0.1;976.37
1656552600.2913356;0.0;0.1;976.37
1656552900.2967305;0.0;0.1;976.37
1656553200.3021257;0.0;0.1;976.37
1656553500.3075209;0.0;0.09;976.37
1656553800.3129158;0.0;0.09;976.37
1656554100.318311;0.0;0.08;1251.54
1656554400.3237062;0.0;0.08;1251.54
1656554700.329101;0.02;0.06;1251.54
1656555000.3344963;0.03;0.06;1251.54
1656555300.3398914;0.03;0.06;1251.54
1656555600.3452864;0.03;0.06;1251.54
1656555900.3506815;0.02;0.06;1251.54
1656556200.3560767;0.03;0.06;1251.54
1656556500.361472;0.03;0.06;1251.54
1656556800.3668668;0.01;0.08;1251.54
1656557100.372262;0.03;0.06;1251.54
1656557400.3776572;0.03;0.06;1251.54
1656557700.383052;0.03;0.06;1347.61
1656558000.3884473;0.12;0.05;1347.61
1656558300.3938425;0.16;0.15;1347.61
1656558600.3992374;0.17;0.15;1347.61
1656558900.4046326;0.21;0.17;1347.61
1656559200.4100277;0.24;0.18;1347.61
1656559500.4154227;0.24;0.17;1347.61
1656559800.4208179;0.29;0.18;1347.61
1656560100.426213;0.36;0.19;1347.61
1656560400.4316082;0.31;0.18;1347.61
1656560700.4370031;0.26;0.2;1347.61
1656561000.4423983;0.24;0.43;1347.61
1656561300.4477935;0.23;0.43;1400.12
1656561600.4531884;0.25;0.43;1400.12
1656561900.4585836;0.34;0.46;1400.12
1656562200.4639788;0.37;0.47;1400.12
1656562500.4693737;0.39;0.47;1400.12
1656562800.4747689;0.43;0.48;1400.12
1656563100.480164;0.45;0.5;1400.12
1656563400.4855592;0.48;0.42;1400.12
1656563700.4909542;0.53;0.44;1400.12
1656564000.4963493;0.54;0.3;1400.12
1656564300.5017445;0.58;0.41;1400.12
1656564600.5071394;0.63;0.27;1400.12
1656564900.5125346;0.59;0.27;1139.39
1656565200.5179298;0.81;0.27;1139.39
1656565500.5233247;1.0;0.27;1139.39
1656565800.52872;0.79;0.25;1139.39
1656566100.534115;1.13;0.29;1139.39
1656566400.53951;0.77;0.28;1139.39
1656566700.5449052;1.48;0.28;1139.39
1656567000.5503004;1.03;0.25;1139.39
1656567300.5556955;1.54;0.22;1139.39
1656567600.5610905;1.61;0.31;1139.39
1656567900.5664856;1.5;0.18;1139.39
1656568200.5718808;2.04;0.19;1139.39
1656568500.5772758;1.13;0.27;1022.14
1656568800.582671;2.28;0.28;1022.14
1656569100.588066;2.28;0.28;1022.14
1656569400.593461;2.08;0.27;1022.14
1656569700.5988562;2.17;0.17;1022.14
1656570000.6042514;2.28;0.19;1022.14
1656570300.6096466;2.42;1.46;1022.14
1656570600.6150415;2.44;0.8;1022.14
1656570900.6204367;2.64;0.19;1022.14
1656571200.6258318;2.62;0.19;1022.14
1656571500.6312268;2.82;0.22;1022.14
1656571800.636622;2.88;0.2;1022.14
1656572100.6420171;3.09;0.13;991.78
1656572400.647412;2.98;0.18;991.78
1656572700.6528072;3.15;0.36;991.78
1656573000.6582024;3.15;0.36;991.78
1656573300.6635973;3.25;0.35;991.78
1656573600.6689925;3.39;0.48;991.78
1656573900.6743877;3.26;0.09;991.78
1656574200.6797829;3.79;2.41;991.78
1656574500.6851778;3.9;3.27;991.78
